Date,Open,High,Low,Close
07/12/2024,"5,590.76","5,655.56","5,590.44","5,615.35"
07/11/2024,"5,635.21","5,642.45","5,576.53","5,584.54"
07/10/2024,"5,591.26","5,635.39","5,586.44","5,633.91"
07/09/2024,"5,584.24","5,590.75","5,574.57","5,576.98"
07/08/2024,"5,572.75","5,583.11","5,562.51","5,572.85"
07/05/2024,"5,537.91","5,570.33","5,531.63","5,567.19"
07/03/2024,"5,507.44","5,539.27","5,507.42","5,537.02"
07/02/2024,"5,461.84","5,509.69","5,458.43","5,509.01"
07/01/2024,"5,471.08","5,479.55","5,446.53","5,475.09"
06/28/2024,"5,488.48","5,523.64","5,451.12","5,460.48"
06/27/2024,"5,473.59","5,490.81","5,467.54","5,482.87"
06/26/2024,"5,460.71","5,483.14","5,451.87","5,477.90"
06/25/2024,"5,460.73","5,472.88","5,446.56","5,469.30"
06/24/2024,"5,459.58","5,490.66","5,447.59","5,447.87"
06/21/2024,"5,466.77","5,478.31","5,452.03","5,464.62"
06/20/2024,"5,499.99","5,505.53","5,455.56","5,473.17"
06/18/2024,"5,476.15","5,490.38","5,471.32","5,487.03"
06/17/2024,"5,431.11","5,488.50","5,420.40","5,473.23"
06/14/2024,"5,424.08","5,432.39","5,403.75","5,431.60"
06/13/2024,"5,441.93","5,441.93","5,402.51","5,433.74"
06/12/2024,"5,409.13","5,447.25","5,409.13","5,421.03"
06/11/2024,"5,353.00","5,375.95","5,327.25","5,375.32"
06/10/2024,"5,341.22","5,365.79","5,331.52","5,360.79"
06/07/2024,"5,343.81","5,375.08","5,331.33","5,346.99"
06/06/2024,"5,357.80","5,362.35","5,335.36","5,352.96"
06/05/2024,"5,314.48","5,354.16","5,297.64","5,354.03"
06/04/2024,"5,278.24","5,298.80","5,257.63","5,291.34"
06/03/2024,"5,297.15","5,302.11","5,234.32","5,283.40"
05/31/2024,"5,243.21","5,280.33","5,191.68","5,277.51"
05/30/2024,"5,259.77","5,260.21","5,222.10","5,235.48"
05/29/2024,"5,278.73","5,282.27","5,262.70","5,266.95"
05/28/2024,"5,315.91","5,315.91","5,280.89","5,306.04"
05/24/2024,"5,281.45","5,311.65","5,278.39","5,304.72"
05/23/2024,"5,340.26","5,341.88","5,256.93","5,267.84"
05/22/2024,"5,319.28","5,323.18","5,286.01","5,307.01"
05/21/2024,"5,298.69","5,324.32","5,297.87","5,321.41"
05/20/2024,"5,305.35","5,325.32","5,302.40","5,308.13"
05/17/2024,"5,303.10","5,305.45","5,283.59","5,303.27"
05/16/2024,"5,310.07","5,325.49","5,296.19","5,297.10"
05/15/2024,"5,263.26","5,311.76","5,263.26","5,308.15"
05/14/2024,"5,221.10","5,250.37","5,217.98","5,246.68"
05/13/2024,"5,233.08","5,237.26","5,211.16","5,221.42"
05/10/2024,"5,225.49","5,239.66","5,209.68","5,222.68"
05/09/2024,"5,189.03","5,215.30","5,180.41","5,214.08"
05/08/2024,"5,168.98","5,191.95","5,165.86","5,187.67"
05/07/2024,"5,187.20","5,200.23","5,178.96","5,187.70"
05/06/2024,"5,142.42","5,181.00","5,142.42","5,180.74"
05/03/2024,"5,122.78","5,139.12","5,101.22","5,127.79"
05/02/2024,"5,049.32","5,073.21","5,011.05","5,064.20"
05/01/2024,"5,029.03","5,096.12","5,013.45","5,018.39"
04/30/2024,"5,103.78","5,110.83","5,035.31","5,035.69"
04/29/2024,"5,114.13","5,123.49","5,088.65","5,116.17"
04/26/2024,"5,084.65","5,114.62","5,073.14","5,099.96"
04/25/2024,"5,019.88","5,057.75","4,990.58","5,048.42"
04/24/2024,"5,084.86","5,089.48","5,047.02","5,071.63"
